,p_before,p_chamber_pressure_predischarge,t_cd_discharge_request,U_Bt_final,U_CD_final,b_plasma
41600,0.91,11.20,"1000
",811,501,1.000
41601,7.29,54.40,"0
",248,248,0.000
41602,7.24,22.80,"1000
",823,512,0.000
41603,7.16,23.40,"1000
",822,512,0.000
41606,4.24,8.35,"1000
",823,517,0.000
41607,4.08,5.93,"1000
",870,507,1.000
41608,3.96,5.11,"1000
",765,521,1.000
41609,3.89,4.63,"1200
",754,507,1.000
41610,3.84,4.33,"1400
",761,518,0.000
41611,3.80,4.12,"1000
",815,512,0.000
41612,3.74,149.00,"1000
",801,527,0.000
41613,3.71,79.20,"1000
",816,512,0.000
41614,3.69,29.50,"1000
",827,525,1.000
41615,3.69,13.50,"1000
",814,508,1.000
41616,3.67,11.20,"1000
",950,523,1.000
41617,3.86,9.54,"1000
",909,523,1.000
41618,3.65,9.98,"1000
",1005,513,1.000
41619,3.51,78.80,"1000
",801,523,0.000
41620,3.46,17.20,"1000
",823,512,1.000
41621,3.22,7.28,"1000
",823,431,1.000
41622,3.20,6.96,"1000
",806,404,0.000
41623,3.16,10.00,"1000
",824,424,0.000
41624,3.14,3.13,"1000
",830,431,0.000
41625,3.12,11.20,"1000
",812,410,1.000
41626,3.12,12.00,"1000
",915,428,0.000
41627,3.11,12.60,"1000
",1020,422,0.000
41628,3.09,13.10,"1000
",721,434,1.000
41629,3.09,13.80,"1000
",613,414,1.000
41630,3.08,14.10,"1000
",530,408,1.000
41631,4.71,39.40,"0
",245,245,0.000
41632,4.11,15.80,"1000
",819,508,1.000
41633,3.65,16.60,"1000
",824,512,1.000
41634,2.95,2.91,"1000
",812,529,0.000
41635,2.80,2.78,"1000
",814,531,0.000
41636,2.55,18.40,"2000
",826,519,1.000
41637,2.44,25.70,"1500
",801,524,0.000
41638,2.37,29.40,"1500
",953,604,1.000
41639,2.33,26.70,"3000
",824,517,0.000
41640,2.39,18.30,"3000
",821,701,1.000
41641,2.24,24.80,"1500
",975,560,1.000
41642,2.19,26.90,"1500
",812,527,1.000
41643,2.17,23.60,"3000
",805,606,1.000
41644,2.12,28.30,"1500
",967,518,0.000
41645,2.10,22.30,"3000
",811,575,1.000
41646,2.04,24.60,"1500
",816,505,1.000
41647,2.03,20.20,"1000
",813,335,0.000
41648,2.00,20.00,"1000
",818,203,0.000
41651,1.91,3.23,"0
",230,230,0.000
41652,1.89,14.90,"1000
",807,520,0.000
41653,1.89,17.60,"1000
",809,524,1.000
41654,1.84,4.81,"1000
",807,521,0.000
41655,1.83,18.70,"1000
",821,503,1.000
41656,1.64,2.56,"0
",250,250,0.000
41657,1.62,5.38,"1000
",805,520,0.000
41658,1.61,16.90,"1000
",828,510,0.000
41659,1.60,15.40,"1000
",820,530,1.000
41660,1.59,3.62,"0
",243,243,0.000
41661,1.59,3.64,"0
",229,229,0.000
41662,1.59,3.58,"0
",255,255,0.000
41663,1.57,3.40,"0
",261,261,0.000
41664,1.55,3.28,"0
",261,261,0.000
41665,1.55,3.27,"0
",259,259,0.000
41666,1.72,1.72,"
",,,
41667,1.70,3.93,"1000
",816,502,0.000
41668,1.69,16.50,"1000
",812,529,0.000
41669,1.44,18.60,"1000
",805,525,0.000
41670,1.53,19.20,"1000
",828,524,1.000
41671,1.51,14.50,"1000
",824,520,1.000
41672,1.45,4.57,"1000
",815,508,0.000
41673,1.44,19.80,"1000
",826,520,1.000
41674,1.44,13.90,"0
",259,259,0.000
41675,1.43,14.30,"0
",248,248,0.000
41676,1.42,21.70,"1000
",817,530,1.000
41677,1.42,23.60,"1000
",808,528,1.000
41678,1.42,26.10,"1000
",814,506,1.000
41679,1.42,23.70,"1000
",824,520,1.000
41680,1.41,19.40,"1000
",816,509,1.000
41681,1.41,19.90,"1000
",817,514,1.000
41682,1.40,18.90,"1000
",811,531,1.000
41683,1.41,19.70,"1000
",813,507,1.000
41684,1.41,20.70,"1000
",829,524,1.000
